epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,429.998,2.43713,1.57306,1.91516,0.71065,0.51915,0.5317,0.16439,2.67642,1.46917,2.19341,9.8119e-05,9.8119e-05,9.8119e-05
40,437.392,2.42042,1.56886,1.89392,0.73078,0.55746,0.5681,0.2216,2.31114,1.41526,2.01006,9.80695e-05,9.80695e-05,9.80695e-05
41,444.505,2.38057,1.53788,1.88431,0.74853,0.55878,0.5683,0.22566,2.33197,1.43237,2.00129,9.802e-05,9.802e-05,9.802e-05
42,453.152,2.38351,1.51018,1.87545,0.76278,0.54161,0.57654,0.24708,2.21941,1.3693,1.94807,9.79705e-05,9.79705e-05,9.79705e-05
43,461.425,2.34447,1.4931,1.84421,0.75604,0.54293,0.57106,0.18559,2.60292,1.43177,2.14812,9.7921e-05,9.7921e-05,9.7921e-05
44,468.999,2.33718,1.49902,1.83468,0.70954,0.53897,0.5372,0.15878,2.74249,1.56245,2.25715,9.78715e-05,9.78715e-05,9.78715e-05
45,476.276,2.33176,1.47447,1.83719,0.71193,0.53501,0.53191,0.15273,2.77275,1.51932,2.25943,9.7822e-05,9.7822e-05,9.7822e-05
46,483.662,2.39777,1.52997,1.86541,0.71635,0.53765,0.53276,0.14682,2.7935,1.47769,2.27398,9.77725e-05,9.77725e-05,9.77725e-05
47,491.133,2.3361,1.51069,1.83696,0.73911,0.58124,0.58498,0.2582,2.0468,1.3394,1.86602,9.7723e-05,9.7723e-05,9.7723e-05
48,503.11,2.3253,1.48074,1.83715,0.75098,0.56143,0.56607,0.18302,2.58498,1.40746,2.12383,9.76735e-05,9.76735e-05,9.76735e-05
49,510.222,2.30507,1.47156,1.81542,0.75866,0.56935,0.58305,0.20535,2.4601,1.36363,2.05802,9.7624e-05,9.7624e-05,9.7624e-05
50,521.994,2.306,1.45098,1.80267,0.76113,0.57596,0.58319,0.22907,2.31403,1.34681,1.98377,9.75745e-05,9.75745e-05,9.75745e-05
51,530.631,2.25533,1.43672,1.79106,0.77133,0.5748,0.59125,0.22083,2.3613,1.36318,2.00262,9.7525e-05,9.7525e-05,9.7525e-05
52,548.563,2.26108,1.44361,1.81359,0.7457,0.58879,0.59399,0.25876,2.10826,1.30701,1.88356,9.74755e-05,9.74755e-05,9.74755e-05
53,557.858,2.28148,1.44761,1.81118,0.75196,0.58124,0.59137,0.21026,2.4101,1.33965,2.03565,9.7426e-05,9.7426e-05,9.7426e-05
54,565.797,2.26834,1.4299,1.79101,0.7338,0.55351,0.56238,0.15214,2.80478,1.46103,2.30277,9.73765e-05,9.73765e-05,9.73765e-05
